id,name,waterwayName,video_url_1,video_url_2,video_url_3,video_url_4,video_url_5
cmlhcpxpx002hm2a3etw7eega,Fort Reliance,Great Slave Lake,https://www.youtube.com/watch?v=KyYMaK6x14s,https://www.youtube.com/watch?v=9g9Yqa4cW4Q,https://www.youtube.com/watch?v=hK8PcL72mSc,,
cmlhcpxks000fm2a34uekbxty,Fort Resolution,Great Slave Lake,https://www.youtube.com/watch?v=KyYMaK6x14s,https://www.youtube.com/watch?v=9g9Yqa4cW4Q,https://www.youtube.com/watch?v=hK8PcL72mSc,,
cmlhcpxq0002jm2a3phk4pbzy,Fort Rupert,Queen Charlotte Sound,https://www.youtube.com/watch?v=sRR-sDn9vbE,https://www.youtube.com/watch?v=JJv54gdhrd4,https://www.youtube.com/watch?v=an4R12V_G1E,,
cmlhci098001jm2rxi0if729k,Fort San Miguel (Spanish Fort at Nootka),Nootka Sound,https://www.youtube.com/watch?v=BZZ-QVcN3QM,https://www.youtube.com/watch?v=i5XHvFy7uTM,https://www.youtube.com/watch?v=LbCSYgGS8HE,,
cmlhcpxjq0003m2a3mh417co2,Fort Severn,Hudson Bay,https://www.youtube.com/watch?v=MG9emfuTQVc,https://www.youtube.com/watch?v=6T_q7Ng6N14,https://www.youtube.com/watch?v=RnvWzeTAN3c,,
cmlhbjrri0017m2mbfts7d8is,Fort Simpson,Mackenzie River,https://www.youtube.com/watch?v=2WoA6WGT8JI,https://www.youtube.com/watch?v=i2jexPzNZbE,https://www.youtube.com/watch?v=umT32nGc5pg,,
cmlhcpxq5002lm2a353mda50w,Fort Simpson (BC),Queen Charlotte Sound,https://www.youtube.com/watch?v=sRR-sDn9vbE,https://www.youtube.com/watch?v=JJv54gdhrd4,https://www.youtube.com/watch?v=an4R12V_G1E,,
fort_st_charles_location,Fort St. Charles,Lake of the Woods,https://www.youtube.com/watch?v=UoQdXDeQz3U,https://www.youtube.com/watch?v=Xf2Ph7nvoOA,https://www.youtube.com/watch?v=RTlfPlRc9cQ,,
cmlhbjrrn001bm2mbmbhxd2wx,Fort St. James,Fraser River,https://www.youtube.com/watch?v=rtcg-jdnoAg,https://www.youtube.com/watch?v=p_IWBl1PLL4,https://www.youtube.com/watch?v=5d-gLMIaSzU,,
cmlhasls4002am2zhut4b7lsm,Fort Témiscamingue,Ottawa River,https://www.youtube.com/watch?v=-E7wsRXAaqY,https://www.youtube.com/watch?v=uAbMfC7ZnUk,https://www.youtube.com/watch?v=41otftouNao,,
cmlhcpxlo000rm2a3z56bctdt,Fort Vancouver (HBC),Columbia River,https://www.youtube.com/watch?v=jdYIY6pT9Qs,https://www.youtube.com/watch?v=aaV7_BQ3k2s,https://www.youtube.com/watch?v=jHhS24ENiQM,,
cmlhcpxnr001fm2a3urmu7hn2,Fort Vermilion (NWC),Peace River,https://www.youtube.com/watch?v=jvHw-oXV5kM,https://www.youtube.com/watch?v=Sbuw_iFuidQ,https://www.youtube.com/watch?v=d5zQmTSAEVg,,
cmlhcpxm4000tm2a3h0q903om,Fort Victoria,Juan de Fuca Strait,https://www.youtube.com/watch?v=ClJdkqr-YV0,https://www.youtube.com/watch?v=LasZ_YFPp-0,https://www.youtube.com/watch?v=Sm4RlTOGvM8,,
cmlhbjrr2000vm2mb4xb3au6o,Fort William,Lake Superior,https://www.youtube.com/watch?v=eKQ6dLU7f3g,https://www.youtube.com/watch?v=mDCnduvku8w,https://www.youtube.com/watch?v=shfYWGqZMak,,
cmlhcpxn40015m2a37q2atmqk,Fort William (NWC),Lake Superior,https://www.youtube.com/watch?v=eKQ6dLU7f3g,https://www.youtube.com/watch?v=mDCnduvku8w,https://www.youtube.com/watch?v=shfYWGqZMak,,
cmlhcpxmx0011m2a3ip116duw,Fort Yukon,Yukon River,https://www.youtube.com/watch?v=fOr8fLqhWpE,https://www.youtube.com/watch?v=8MdYfdoWI6E,https://www.youtube.com/watch?v=OdtDh-FhNko,,
cmlk1ohtb000dm2ati96rxt36,French Portage,Lake Huron,https://www.youtube.com/watch?v=YHstIA-PQKM,https://www.youtube.com/watch?v=Q7Q6tV6T7lE,https://www.youtube.com/watch?v=H94ApGZQ7IA,,
cmlhci092001fm2rxed77jk9j,Friendly Cove Landing (Cook's Landing),Nootka Sound,https://www.youtube.com/watch?v=BZZ-QVcN3QM,https://www.youtube.com/watch?v=i5XHvFy7uTM,https://www.youtube.com/watch?v=LbCSYgGS8HE,,
cmlk1oht20007m2at0bcedeyz,Frog Portage,Churchill River (Saskatchewan),https://www.youtube.com/watch?v=WWxtI1LhH10,https://www.youtube.com/watch?v=1VTtt8M043o,https://www.youtube.com/watch?v=V0KNXy9r4hY,,
